size,isdir,mode,mtime,ctime,atime,uid,gid,uname,grname
748,FALSE,644,2026-01-15T01:57:58Z,2026-01-15T01:58:00Z,2026-01-15T22:53:44Z,502,20,emartins,staff
579,FALSE,644,2026-01-15T02:02:46Z,2026-01-15T02:02:48Z,2026-01-15T22:53:43Z,502,20,emartins,staff
571,FALSE,644,2026-01-14T14:15:59Z,2026-01-15T01:56:03Z,2026-01-15T22:53:43Z,502,20,emartins,staff
607,FALSE,644,2026-01-15T02:06:43Z,2026-01-15T02:06:44Z,2026-01-15T22:53:43Z,502,20,emartins,staff
483,FALSE,644,2026-01-14T14:17:29Z,2026-01-15T01:56:03Z,2026-01-15T22:54:05Z,502,20,emartins,staff
715,FALSE,644,2026-01-15T02:10:19Z,2026-01-15T02:10:21Z,2026-01-15T22:53:43Z,502,20,emartins,staff
556,FALSE,644,2026-01-15T02:12:09Z,2026-01-15T02:12:14Z,2026-01-15T22:53:43Z,502,20,emartins,staff
1093,FALSE,644,2026-01-15T02:25:38Z,2026-01-15T02:25:39Z,2026-01-15T22:53:44Z,502,20,emartins,staff
673,FALSE,644,2026-01-15T02:34:21Z,2026-01-15T17:27:15Z,2026-01-15T22:53:44Z,502,20,emartins,staff
574,FALSE,644,2026-01-15T13:50:09Z,2026-01-15T17:27:15Z,2026-01-15T22:53:43Z,502,20,emartins,staff
617,FALSE,644,2026-01-15T13:51:26Z,2026-01-15T17:27:15Z,2026-01-15T22:53:44Z,502,20,emartins,staff
558,FALSE,644,2026-01-15T13:53:45Z,2026-01-15T17:27:15Z,2026-01-15T22:53:44Z,502,20,emartins,staff
544,FALSE,644,2026-01-15T13:55:14Z,2026-01-15T17:27:15Z,2026-01-15T22:53:44Z,502,20,emartins,staff
694,FALSE,644,2026-01-15T13:57:33Z,2026-01-15T17:27:15Z,2026-01-15T22:53:47Z,502,20,emartins,staff
374,FALSE,644,2026-01-15T13:58:05Z,2026-01-15T13:58:07Z,2026-01-15T22:53:47Z,502,20,emartins,staff
240,FALSE,644,2026-01-15T13:59:05Z,2026-01-15T13:59:06Z,2026-01-15T22:53:44Z,502,20,emartins,staff
277,FALSE,644,2026-01-15T13:59:50Z,2026-01-15T13:59:51Z,2026-01-15T22:53:44Z,502,20,emartins,staff
458,FALSE,644,2026-01-15T14:02:43Z,2026-01-15T14:02:45Z,2026-01-15T22:53:47Z,502,20,emartins,staff
201,FALSE,644,2026-01-15T14:03:04Z,2026-01-15T14:03:05Z,2026-01-15T22:53:44Z,502,20,emartins,staff
265,FALSE,644,2026-01-15T14:04:05Z,2026-01-15T14:04:06Z,2026-01-15T22:53:44Z,502,20,emartins,staff
259,FALSE,644,2026-01-15T14:04:54Z,2026-01-15T14:04:55Z,2026-01-15T22:53:44Z,502,20,emartins,staff
334,FALSE,644,2026-01-15T14:05:50Z,2026-01-15T14:05:51Z,2026-01-15T22:53:47Z,502,20,emartins,staff
358,FALSE,644,2026-01-15T14:07:41Z,2026-01-15T14:07:42Z,2026-01-15T22:53:44Z,502,20,emartins,staff
250,FALSE,644,2026-01-15T14:09:45Z,2026-01-15T14:09:46Z,2026-01-15T22:53:44Z,502,20,emartins,staff
277,FALSE,644,2026-01-15T14:11:36Z,2026-01-15T17:27:15Z,2026-01-15T22:53:44Z,502,20,emartins,staff
245,FALSE,644,2026-01-15T14:12:39Z,2026-01-15T17:27:15Z,2026-01-15T22:53:44Z,502,20,emartins,staff
294,FALSE,644,2026-01-15T14:13:44Z,2026-01-15T17:27:15Z,2026-01-15T22:53:44Z,502,20,emartins,staff
340,FALSE,644,2026-01-15T14:15:22Z,2026-01-15T17:27:15Z,2026-01-15T22:53:44Z,502,20,emartins,staff
1049,FALSE,644,2026-01-15T14:19:03Z,2026-01-15T14:19:03Z,2026-01-15T22:53:44Z,502,20,emartins,staff
723,FALSE,644,2026-01-15T14:20:20Z,2026-01-15T14:20:21Z,2026-01-15T22:53:44Z,502,20,emartins,staff
682,FALSE,644,2026-01-15T14:21:08Z,2026-01-15T14:21:09Z,2026-01-15T22:53:44Z,502,20,emartins,staff
532,FALSE,644,2026-01-15T14:22:33Z,2026-01-15T14:22:34Z,2026-01-15T22:53:44Z,502,20,emartins,staff
604,FALSE,644,2026-01-15T14:23:25Z,2026-01-15T14:23:26Z,2026-01-15T22:53:47Z,502,20,emartins,staff
555,FALSE,644,2026-01-15T14:28:32Z,2026-01-15T14:28:33Z,2026-01-15T22:53:43Z,502,20,emartins,staff
480,FALSE,644,2026-01-15T14:29:56Z,2026-01-15T14:29:57Z,2026-01-15T22:53:44Z,502,20,emartins,staff
513,FALSE,644,2026-01-15T14:31:23Z,2026-01-15T14:31:24Z,2026-01-15T22:53:44Z,502,20,emartins,staff
